Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$40,011,365",Click,Revolution Studios,"June 22, 2006 (APAC)",PG-13,1 hr 47 min,,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,"['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff']","['Frank Coraci', 'Steve Koren', ""Mark O'Keefe"", 'Jack Giarraputo', 'Steve Koren', 'Neal H. Moritz', ""Mark O'Keefe"", 'Adam Sandler', 'Rupert Gregson-Williams', 'Dean Semler', 'Jeff Gourson', 'Perry Andelin Blake']"
"$12,778,913",The Holiday,Sony Pictures Releasing,"December 5, 2006 (Spain)",PG-13,2 hr 16 min,,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.","['Kate Winslet', 'Cameron Diaz', 'Jude Law', 'Jack Black']","['Nancy Meyers', 'Nancy Meyers', 'Bruce A. Block', 'Nancy Meyers', 'Hans Zimmer', 'Dean Cundey', 'Joe Hutshing', 'Jon Hutman']"
"$39,172,785",The Break-Up,Universal Pictures,"June 2, 2006 (Domestic)",PG-13,1 hr 46 min,,A couple's break-up proceeds to get uglier and nastier by the moment as each tries to keep their luxurious condo from the other.,"['Jennifer Aniston', 'Vince Vaughn', 'Jon Favreau', 'Joey Lauren Adams']","['Peyton Reed', 'Jeremy Garelick', 'Jay Lavender', 'Vince Vaughn', 'Jeremy Garelick', 'Jay Lavender', 'Scott Stuber', 'Vince Vaughn', 'Jon Brion', 'Eric Alan Edwards', 'Dan Lebental', 'David Rosenbloom', 'Andrew Laws']"
"$23,624,548",Open Season,Sony Pictures Releasing,"September 29, 2006 (4 markets)",PG,1 hr 26 min,,"Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.","['Ashton Kutcher', 'Martin Lawrence', 'Debra Messing', 'Gary Sinise']","['Roger Allers', 'Jill Culton', 'Anthony Stacchi', 'Steve Bencich', 'Ron J. Friedman', 'Nat Mauldin', 'Jill Culton', 'Anthony Stacchi', 'Steve Moore', 'John B. Carls', 'Sam Harper', 'Dan Wilson', 'David Gilbreth', 'Michelle Murdocca', 'Ramin Djawadi', 'Paul Westerberg', 'Ken Solomon', 'Pam Ziegenhagen', 'Michael Humphries']"
"$28,954,945",Inside Man,Universal Pictures,"March 23, 2006 (9 markets)",R,2 hr 9 min,,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.","['Denzel Washington', 'Clive Owen', 'Jodie Foster', 'Christopher Plummer']","['Spike Lee', 'Russell Gewirtz', 'Brian Grazer', 'Terence Blanchard', 'Matthew Libatique', 'Barry Alexander Brown', 'Wynn Thomas']"
"$22,155,410",Poseidon,Warner Bros.,"May 10, 2006 (APAC)",PG-13,1 hr 38 min,,"On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.","['Richard Dreyfuss', 'Kurt Russell', 'Emmy Rossum', 'Josh Lucas']","['Wolfgang Petersen', 'Mark Protosevich', 'Paul Gallico', 'Mike Fleiss', 'Akiva Goldsman', 'Duncan Henderson', 'Lorne Orleans', 'Wolfgang Petersen', 'Klaus Badelt', 'John Seale', 'Peter Honess', 'William Sandell']"
"$20,574,802",Deja Vu,Walt Disney Studios Motion Pictures,"November 22, 2006 (Domestic)",PG-13,2 hr 6 min,,"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.","['Denzel Washington', 'Paula Patton', 'Jim Caviezel', 'Val Kilmer']","['Tony Scott', 'Bill Marsilii', 'Terry Rossio', 'Jerry Bruckheimer', 'Jared Lee Gosselin', 'Harry Gregson-Williams', 'Paul Cameron', 'Jason Hellmann', 'Chris Lebenzon', 'Chris Seagers']"
"$18,814,323",Flushed Away,DreamWorks,"November 2, 2006 (APAC, EMEA)",PG,1 hr 25 min,,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.","['Hugh Jackman', 'Kate Winslet', 'Ian McKellen', 'Jean Reno']","['David Bowers', 'Sam Fell', 'Dick Clement', 'Ian La Frenais', 'Christopher Lloyd', 'Joe Keenan', 'William Davies', 'Sam Fell', 'Peter Lord', 'Dick Clement', 'Ian La Frenais', 'David Bowers', 'Sam Fell', 'Paul Fisher', 'Robert Nelson Jacobs', 'Simon Nye', 'Tim Sullivan', 'Cecil Kramer', 'Peter Lord', 'David Sproxton', 'Harry Gregson-Williams', 'Brad Blackbourn', 'Frank Passingham', 'Erika Dapkewicz', 'John Venzon', 'David James']"
"$40,222,875",Scary Movie 4,Dimension Films,"April 12, 2006 (Denmark)",PG-13,1 hr 23 min,,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.","['Anna Faris', 'Regina Hall', 'Craig Bierko', 'Bill Pullman']","['David Zucker', 'Craig Mazin', 'Jim Abrahams', 'Pat Proft', 'Craig Mazin', 'Shawn Wayans', 'Marlon Wayans', 'Buddy Johnson', 'Phil Beauman', 'Jason Friedberg', 'Aaron Seltzer', 'Craig Mazin', 'Robert K. Weiss', 'James L. Venable', 'Thomas E. Ackerman', 'Craig Herring', 'Tom Lewis', 'Holger Gross']"
"$8,648,324",Blood Diamond,Warner Bros.,"December 8, 2006 (Domestic)",R,2 hr 23 min,,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.","['Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly', 'Kagiso Kuypers']","['Edward Zwick', 'Charles Leavitt', 'Charles Leavitt', 'C. Gaby Mitchell', 'Gillian Gorfil', 'Marshall Herskovitz', 'Graham King', 'Paula Weinstein', 'Edward Zwick', 'James Newton Howard', 'Eduardo Serra', 'Steven Rosenblum', 'Dan Weil']"
"$33,610,391",Saw III,Lionsgate Films,"October 27, 2006 (Domestic, EMEA)",R,1 hr 48 min,,Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test.,"['Tobin Bell', 'Shawnee Smith', 'Angus Macfadyen', 'Bahar Soomekh']","['Darren Lynn Bousman', 'Leigh Whannell', 'James Wan', 'Leigh Whannell', 'Mark Burg', 'Gregg Hoffman', 'Oren Koules', 'Charlie Clouser', 'David A. Armstrong', 'Kevin Greutert', 'David Hackl']"
"$20,220,412",The Pink Panther,Sony Pictures Releasing,"February 9, 2006 (LATAM)",PG,1 hr 33 min,,Bumbling Inspector Clouseau must solve the murder of a famous soccer coach and find out who stole the infamous Pink Panther diamond.,"['Steve Martin', 'Kevin Kline', 'Jean Reno', 'Emily Mortimer']","['Shawn Levy', 'Len Blum', 'Steve Martin', 'Len Blum', 'Michael Saltzman', 'Maurice Richlin', 'Blake Edwards', 'Robert Simonds', 'Christophe Beck', 'Jonathan Brown', 'George Folsey Jr.', 'Brad Wilhite', 'Lilly Kilvert']"
"$25,723,815",Miami Vice,Universal Pictures,"July 27, 2006 (APAC)",R,2 hr 12 min,,"Based on the 1980s TV action/drama, this update focuses on vice detectives Crockett and Tubbs as their respective personal and professional lives become dangerously intertwined.","['Colin Farrell', 'Jamie Foxx', 'Gong Li', 'Naomie Harris']","['Michael Mann', 'Michael Mann', 'Anthony Yerkovich', 'Pieter Jan Brugge', 'Michael Mann', 'John Murphy', 'Dion Beebe', 'William Goldenberg', 'Paul Rubell', 'Victor Kempster']"
"$47,042,215",Talladega Nights: The Ballad of Ricky Bobby,Sony Pictures Releasing,"August 4, 2006 (Domestic)",PG-13,1 hr 48 min,,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.","['Will Ferrell', 'John C. Reilly', 'Sacha Baron Cohen', 'Gary Cole']","['Adam McKay', 'Will Ferrell', 'Adam McKay', 'Judd Apatow', 'Jimmy Miller', 'Alex Wurman', 'Oliver Wood', 'Brent White', 'Clayton Hartley']"
"$18,730,762",World Trade Center,Paramount Pictures,"August 9, 2006 (Domestic)",PG-13,2 hr 9 min,,Two Port Authority police officers become trapped under the rubble of the World Trade Center.,"['Nicolas Cage', 'Michael Peña', 'Maria Bello', 'Maggie Gyllenhaal']","['Oliver Stone', 'Andrea Berloff', 'John McLoughlin', 'Donna McLoughlin', 'William Jimeno', 'Allison Jimeno', 'Moritz Borman', 'Debra Hill', 'Michael Shamberg', 'Stacey Sher', 'Craig Armstrong', 'Seamus McGarvey', 'David Brenner', 'Julie Monroe', 'Jan Roelfs']"
"$23,973,840",The Fast and the Furious: Tokyo Drift,Universal Pictures,"June 15, 2006 (APAC)",PG-13,1 hr 44 min,Action Crime Thriller,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,"['Lucas Black', 'Zachery Ty Bryan', 'Shad Moss', 'Damien Marzette']","['Justin Lin', 'Chris Morgan', 'Neal H. Moritz', 'Brian Tyler', 'Stephen F. Windon', 'Kelly Matsumoto', 'Dallas Puett', 'Fred Raskin', 'Ida Random']"
"$12,158,168",Rocky Balboa,Metro-Goldwyn-Mayer (MGM),"December 20, 2006 (Domestic)",PG,1 hr 42 min,,"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.","['Sylvester Stallone', 'Antonio Tarver', 'Milo Ventimiglia', 'Burt Young']","['Sylvester Stallone', 'Sylvester Stallone', 'Sylvester Stallone', 'William Chartoff', 'Kevin King Templeton', 'Charles Winkler', 'David Winkler', 'Bill Conti', 'Clark Mathis', 'Sean Albertson', 'Franco-Giacomo Carbone']"
"$378,950",Dreamgirls,DreamWorks,"December 15, 2006 (Domestic)",PG-13,2 hr 10 min,Drama Music Musical,"A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.","['Beyoncé', 'Jamie Foxx', 'Eddie Murphy', 'Danny Glover']","['Bill Condon', 'Tom Eyen', 'Bill Condon', 'Laurence Mark', 'Tom Eyen', 'Henry Krieger', 'Tobias A. Schliessler', 'Virginia Katz', 'John Myhre']"
