Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
,Tokyo Revengers,,"July 9, 2021 (Japan)",,2 hr,Action Crime Drama Sci-Fi,"A middle-aged loser travels in time to his school years, and, in order to save the love of his life from future doom, he must become the leader of a dreaded school gang.","['Takumi Kitamura', 'Yuki Yamada', 'Yôsuke Sugino', 'Keita Arai']","['Tsutomu Hanabusa', 'Ken Wakui', 'Izumi Takahashi', 'Bruce Of Skyland N. Axelburg', 'Yutaka Yamada', 'Tomoo Ezaki', 'Naoichirô Sagara']"
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
"$2,859,409",The Night House,Searchlight Pictures,"August 18, 2021 (Belgium)",R,1 hr 47 min,Horror Mystery Thriller,A widow begins to uncover her recently deceased husband's disturbing secrets.,"['Rebecca Hall', 'Sarah Goldberg', 'Vondie Curtis-Hall', 'Evan Jonigkeit']","['David Bruckner', 'Ben Collins', 'Luke Piotrowski', 'David S. Goyer', 'Keith Levine', 'John Zois', 'Ben Lovett', 'Elisha Christian', 'David Marks', 'Kathrin Eder']"
"$13,775",Drive My Car,Janus Films,"August 18, 2021 (France)",,2 hr 59 min,Drama,A renowned stage actor and director learns to cope with a big personal loss when he receives an offer to direct a production of Uncle Vanya in Hiroshima.,"['Hidetoshi Nishijima', 'Tôko Miura', 'Reika Kirishima', 'Masaki Okada']","['Ryûsuke Hamaguchi', 'Haruki Murakami', 'Ryûsuke Hamaguchi', 'Takamasa Ôe', 'Teruhisa Yamamoto', 'Eiko Ishibashi', 'Hidetoshi Shinomiya', 'Azusa Yamazaki', 'Hyeon-Seon Seo']"
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
,Hmmm… can't reach this page,,,,,,,,
