Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$40,457,770",The Mummy: Tomb of the Dragon Emperor,Universal Pictures,"July 30, 2008 (APAC, LATAM)",PG-13,1 hr 52 min,,"In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago.","['Brendan Fraser', 'Jet Li', 'Maria Bello', 'Michelle Yeoh']","['Rob Cohen', 'Alfred Gough', 'Miles Millar', 'John L. Balderston', 'Stephen Sommers', 'Sean Daniel', 'Bob Ducsay', 'James Jacks', 'Stephen Sommers', 'Randy Edelman', 'Simon Duggan', 'Kelly Matsumoto', 'Joel Negron', 'Nigel Phelps']"
"$360,018",Slumdog Millionaire,Fox Searchlight,"November 12, 2008 (Domestic)",R,2 hr,,"A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers.","['Dev Patel', 'Freida Pinto', 'Saurabh Shukla', 'Anil Kapoor']","['Danny Boyle', 'Loveleen Tandan', 'Simon Beaufoy', 'Vikas Swarup', 'Christian Colson', 'A.R. Rahman', 'Anthony Dod Mantle', 'Chris Dickens', 'Mark Digby']"
"$50,927,085",Wanted,Universal Pictures,"June 26, 2008 (APAC, EMEA)",R,1 hr 50 min,,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.","['Angelina Jolie', 'James McAvoy', 'Morgan Freeman', 'Terence Stamp']","['Timur Bekmambetov', 'Michael Brandt', 'Derek Haas', 'Chris Morgan', 'Michael Brandt', 'Derek Haas', 'Mark Millar', 'J.G. Jones', 'Jim Lemley', 'Jason Netter', 'Marc Platt', 'Iain Smith', 'Danny Elfman', 'Mitchell Amundsen', 'David Brenner', 'John Myhre']"
"$26,853,816",The Curious Case of Benjamin Button,Paramount Pictures,"December 25, 2008 (Domestic, APAC)",PG-13,2 hr 46 min,,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.","['Brad Pitt', 'Cate Blanchett', 'Tilda Swinton', 'Julia Ormond']","['David Fincher', 'Eric Roth', 'Eric Roth', 'Robin Swicord', 'F. Scott Fitzgerald', 'Ceán Chaffin', 'Kathleen Kennedy', 'Frank Marshall', 'Alexandre Desplat', 'Claudio Miranda', 'Kirk Baxter', 'Angus Wall', 'Donald Graham Burt']"
"$26,223,128",Bolt,Walt Disney Studios Motion Pictures,"November 21, 2008 (Domestic)",PG,1 hr 36 min,,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,"['John Travolta', 'Miley Cyrus', 'Susie Essman', 'Mark Walton']","['Byron Howard', 'Chris Williams', 'Dan Fogelman', 'Chris Williams', 'Clark Spencer', 'John Powell', 'Scott Beattie', 'Tim Mertens']"
"$45,012,998",Horton Hears a Who!,Twentieth Century Fox,"March 12, 2008 (LATAM)",,1 hr 26 min,Adventure Animation Comedy Drama Family Fantasy Music,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,"['Jim Carrey', 'Steve Carell', 'Carol Burnett', 'Will Arnett']","['Jimmy Hayward', 'Steve Martino', 'Cinco Paul', 'Ken Daurio', 'Dr. Seuss', 'Bruce Anderson', 'Bob Gordon', 'John Powell', 'Tim Nordquist', 'Pete Oswald']"
"$271,720",Gran Torino,Warner Bros.,"December 12, 2008 (Domestic)",R,1 hr 56 min,,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.","['Clint Eastwood', 'Bee Vang', 'Christopher Carley', 'Ahney Her']","['Clint Eastwood', 'Nick Schenk', 'Dave Johannson', 'Nick Schenk', 'Clint Eastwood', 'Bill Gerber', 'Robert Lorenz', 'Kyle Eastwood', 'Michael Stevens', 'Tom Stern', 'Joel Cox', 'Gary Roach', 'James J. Murakami', 'Phill Zagajewski']"
"$35,867,488","10,000 BC",Warner Bros.,"March 5, 2008 (Philippines)",PG-13,1 hr 49 min,,"In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.","['Camilla Belle', 'Steven Strait', 'Marco Khan', 'Cliff Curtis']","['Roland Emmerich', 'Roland Emmerich', 'Harald Kloser', 'Roland Emmerich', 'Mark Gordon', 'Michael Wimer', 'Harald Kloser', 'Thomas Wanker', 'Ueli Steiger', 'Alexander Berner', 'Jean-Vincent Puzos']"
"$55,414,050",The Incredible Hulk,Universal Pictures,"June 11, 2008 (Ukraine)",PG-13,1 hr 52 min,,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.","['Edward Norton', 'Liv Tyler', 'Tim Roth', 'William Hurt']","['Louis Leterrier', 'Zak Penn', 'Zak Penn', 'Stan Lee', 'Jack Kirby', 'Avi Arad', 'Kevin Feige', 'Gale Anne Hurd', 'Craig Armstrong', 'Peter Menzies Jr.', 'Rick Shaine', 'Vincent Tabaillon', 'John Wright', 'Kirk M. Petruccelli']"
"$36,357,586",Marley & Me,Twentieth Century Fox,"December 24, 2008 (Jamaica)",PG,1 hr 51 min,Drama Family,"A family learns important life lessons from their adorable, but naughty and neurotic dog.","['Owen Wilson', 'Jennifer Aniston', 'Eric Dane', 'Kathleen Turner']","['David Frankel', 'Scott Frank', 'Don Roos', 'John Grogan', 'Gil Netter', 'Karen Rosenfelt', 'Theodore Shapiro', 'Florian Ballhaus', 'Mark Livolsi', 'Stuart Wurtzel']"
"$42,030,184",High School Musical 3: Senior Year,Walt Disney Studios Motion Pictures,"October 22, 2008 (EMEA)",G,1 hr 52 min,,"As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future.","['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale', 'Lucas Grabeel']","['Kenny Ortega', 'Peter Barsocchini', 'Peter Barsocchini', 'Bill Borden', 'Barry Rosenbush', 'David Lawrence', 'Daniel Aranyó', 'Don Brochu', 'Mark Hofeling']"
