Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$16,759,161",A Bad Moms Christmas,STX Entertainment,"November 1, 2017 (EMEA, Domestic)",R,1 hr 44 min,,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.","['Mila Kunis', 'Kristen Bell', 'Kathryn Hahn', 'Jay Hernandez']","['Jon Lucas', 'Scott Moore', 'Jon Lucas', 'Scott Moore', 'Suzanne Todd', 'Christopher Lennertz', 'Mitchell Amundsen', 'James Thomas', 'Marcia Hinds']"
"$26,039,025",Happy Death Day,Universal Pictures,"October 12, 2017 (8 markets)",PG-13,1 hr 36 min,,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.","['Jessica Rothe', 'Israel Broussard', 'Ruby Modine', 'Charles Aitken']","['Christopher Landon', 'Scott Lobdell', 'Jason Blum', 'Bear McCreary', 'Toby Oliver', 'Gregory Plotkin', 'Cece De Stefano']"
"$23,851,539",Captain Underpants: The First Epic Movie,Twentieth Century Fox,"May 31, 2017 (LATAM)",PG,1 hr 29 min,,"Two overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.","['Kevin Hart', 'Thomas Middleditch', 'Ed Helms', 'Nick Kroll']","['David Soren', 'Nicholas Stoller', 'Dav Pilkey', 'David Soren', 'Mireille Soria', 'Mark Swift', 'Theodore Shapiro', 'Matt Landon', 'Nate Wragg']"
"$20,433,071",The Lego Ninjago Movie,Warner Bros.,"September 20, 2017 (Indonesia)",PG,1 hr 41 min,Action Adventure Animation Comedy Drama Family Fantasy Sci-Fi Thriller,"Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.","['Jackie Chan', 'Dave Franco', 'Fred Armisen', 'Kumail Nanjiani']","['Charlie Bean', 'Paul Fisher', 'Bob Logan', 'Bob Logan', 'Paul Fisher', 'William Wheeler', 'Tom Wheeler', 'Jared Stern', 'John Whittington', 'Hilary Winston', 'Bob Logan', 'Paul Fisher', 'William Wheeler', 'Tom Wheeler', 'Dan Hageman', 'Kevin Hageman', 'Maryann Garger', 'Roy Lee', 'Dan Lin', 'Phil Lord', 'Chris McKay', 'Christopher Miller', 'Mark Mothersbaugh', 'David Scott', 'Craig Welsh', 'David Burrows', 'Garret Elkins', 'Ryan Folsey', 'Julie Rogers', 'John Venzon', 'Annie Beauchamp', 'Kim Taylor', 'Simon Whiteley']"
,Secret Superstar,,"October 18, 2017 (Domestic)",,2 hr 30 min,Drama Music,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,"['Zaira Wasim', 'Meher Vij', 'Raj Arjun', 'Aamir Khan']","['Advait Chandan', 'Advait Chandan', 'Aamir Khan', 'Allen Liu', 'Kiran Rao', 'Prasad Shetty', 'Rohit Sangwan', 'Amit Trivedi', 'Anil Mehta', 'Hemanti Sarkar', 'Pallavi Bagga', 'Suman Roy Mahapatra', 'Imran Manzoor']"
"$13,701,452",The Commuter,Lionsgate Films,"January 12, 2017 (Romania)",PG-13,1 hr 44 min,Action Mystery Thriller,An insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.,"['Liam Neeson', 'Vera Farmiga', 'Patrick Wilson', 'Jonathan Banks']","['Jaume Collet-Serra', 'Byron Willinger', 'Philip de Blasi', 'Byron Willinger', 'Philip de Blasi', 'Ryan Engle', 'Alex Heineman', 'Andrew Rona', 'Roque Baños', 'Paul Cameron', 'Nicolas De Toth', 'Richard Bridgland']"
,Forever Young,,"November 16, 2017 (Uruguay)",,2 hr 18 min,Drama,"From World War, to revolution and ultimately rebirth, Forever Young is the story of four generations spanning a hundred years of modern Chinese history. Each generation faces its own unique set of challenges. Up against corporate corruption, the trials and tribulations of the cultural revolution, and one's duty to nation in time of war, they are faced with choosing their individual paths through history. But as the challenges and turmoil of each generation may differ as time changes, what was learned in the past cannot help but effect the choices that are made in the future as it is passed down from generation to generation. And that is the universal message that being true to yourself is precious. It is the source of strength that empowers one to become the person they want to be, to march forward as far as their hearts desire, into the future.","['Ziyi Zhang', 'Xiaoming Huang', 'Leehom Wang', 'Chang Chen']","['Fangfang Li', 'Fangfang Li', 'Tao Liu', 'Yu Cao', 'Jiuping Cao', 'Lai Pan']"
"$19,153,698",The Dark Tower,Sony Pictures Releasing,"August 3, 2017 (APAC, EMEA)",PG-13,1 hr 35 min,,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,"['Idris Elba', 'Matthew McConaughey', 'Tom Taylor', 'Dennis Haysbert']","['Nikolaj Arcel', 'Akiva Goldsman', 'Jeff Pinkner', 'Anders Thomas Jensen', 'Nikolaj Arcel', 'Stephen King', 'Akiva Goldsman', 'Ron Howard', 'Erica Huggins', 'Tom Holkenborg', 'Rasmus Videbæk', 'Alan Edward Bell', 'Dan Zimmerman', 'Christopher Glass', 'Oliver Scholl']"
"$181,705",Buddies in India,China Lion Film Distribution,"January 27, 2017 (EMEA, Domestic)",,1 hr 39 min,Action Comedy,"In an effort to save his house, a man accompanies the son of a recently deceased CEO to India to recover his will.","['Baoqiang Wang', 'Yan Liu', 'White-K', 'Vikramjeet Virk']","['Baoqiang Wang', 'Ding Ding', 'Baoqiang Wang', 'Muchun Zha', 'R.S. Mani', 'Sunny Subramanian']"
"$185,546",Along With the Gods: The Two Worlds,Well Go USA Entertainment,"December 20, 2017 (South Korea)",,2 hr 19 min,Action Adventure Drama Fantasy Thriller,"After a heroic death, a firefighter navigates the afterlife with the help of three guides.","['Ha Jung-woo', 'Cha Tae-hyun', 'Ju Ji-hoon', 'Kim Hyang-gi']","['Yong-hwa Kim', 'Ho-min Ju', 'Yong-hwa Kim', 'Ji-sun Choi', 'Jun-seok Bang', 'Kim Byung-seo', 'Hye-jin Kim', 'Zino Kim', 'Nam Na-young', 'Mok-won Lee']"
,Immortal Demon Slayer,,"July 13, 2017 (APAC, China)",,2 hr 3 min,Action Adventure Family Fantasy,"A giant rebelled against the heavens. It was declared a devil and defeated. The immortal heart evolved into Sun Wukong. The heavens found him, and ravaged his home. He enters the heavenly kingdom, disguised as a human, seeking retribution.","['Eddie Peng', 'Shawn Yue', 'Ni Ni', 'Xiao Bai']","['Chi-Kin Kwok', 'Wenwen Fan', 'Hai Huang', 'Hezai Jin', 'Chi-Kin Kwok', 'Henri Wong', 'Jianxin Huang', 'Ivy Kong', 'Wenyang Liu', 'Ning Ren', 'Wan Pin Chu', 'Jason Kwan', 'Matthew Hui', 'Che Kiu Lam']"
