Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
123,Doraemon the Movie: Nobita and the Birth of Japan,"$50,939,840",-,-,"$50,939,840",100%,2016
124,The Wailing,"$49,851,770","$786,633",1.6%,"$49,065,137",98.4%,2016
125,Two Is a Family,"$49,619,118",-,-,"$49,619,118",100%,2016
126,Never Gone,"$48,980,792","$96,421",0.2%,"$48,884,371",99.8%,2016
127,Luck-Key,"$48,913,975","$466,505",1%,"$48,447,470",99%,2016
128,Florence Foster Jenkins,"$48,902,953","$27,383,770",56%,"$21,519,183",44%,2016
129,Mother's Day,"$48,782,670","$32,492,859",66.6%,"$16,289,811",33.4%,2016
130,"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release","$47,642,462",-,-,"$47,642,462",100%,2016
131,A Monster Calls,"$47,309,313","$3,740,823",7.9%,"$43,568,490",92.1%,2016
132,Risen,"$46,432,579","$36,880,033",79.4%,"$9,552,546",20.6%,2016
133,Eddie the Eagle,"$46,152,800","$15,789,389",34.2%,"$30,363,411",65.8%,2016
134,Blair Witch,"$45,173,154","$20,777,061",46%,"$24,396,093",54%,2016
135,Boonie Bears: The Big Top Secret,"$45,150,390",-,-,"$45,150,390",100%,2016
136,Café Society,"$43,763,247","$11,103,205",25.4%,"$32,660,042",74.6%,2016
137,League of Gods,"$43,498,766","$181,633",0.4%,"$43,317,133",99.6%,2016
138,Almost Christmas,"$42,580,920","$42,158,780",99%,"$422,140",1%,2016
139,The Witch,"$40,423,945","$25,138,705",62.2%,"$15,285,240",37.8%,2016
140,The Wild Life,"$40,075,446","$8,005,586",20%,"$32,069,860",80%,2016
141,Love O2O,"$39,969,537",-,-,"$39,969,537",100%,2016
142,The Forest,"$39,712,000","$26,594,261",67%,"$13,117,739",33%,2016
143,Absolutely Fabulous: The Movie,"$39,219,109","$4,772,155",12.2%,"$34,446,954",87.8%,2016
144,My Mom Is a Character 2,"$39,195,565",-,-,"$39,195,565",100%,2016
145,Masterpiece Mystery: Sherlock: The Abominable Bride,"$39,139,204",-,-,"$39,139,204",100%,2016
146,"Crouching Tiger, Hidden Dragon: Sword of Destiny","$38,659,039",-,-,"$38,659,039",100%,2016
147,Hell or High Water,"$37,879,877","$27,007,844",71.3%,"$10,872,033",28.7%,2016
148,Mission Milano,"$37,749,848",-,-,"$37,749,848",100%,2016
149,The Handmaiden,"$37,692,886","$2,006,788",5.3%,"$35,686,098",94.7%,2016
150,Snowden,"$37,357,216","$21,587,519",57.8%,"$15,769,697",42.2%,2016
151,Nobunaga Concerto: The Movie,"$36,187,594",-,-,"$36,187,594",100%,2016
152,Eye in the Sky,"$35,259,653","$18,704,595",53%,"$16,555,058",47%,2016
153,Les Tuche 2: The American Dream,"$35,210,425",-,-,"$35,210,425",100%,2016
154,Os Dez Mandamentos - O Filme,"$31,998,251",-,-,"$31,998,251",100%,2016
155,Bounty Hunters,"$31,918,573",-,-,"$31,918,573",100%,2016
156,Ae Dil Hai Mushkil,"$31,668,920","$4,264,983",13.5%,"$27,403,937",86.5%,2016
157,Assassination Classroom: The Graduation,"$31,352,921",-,-,"$31,352,921",100%,2016
158,Perfect Strangers,"$31,254,929",-,-,"$31,254,929",100%,2016
159,Billy Lynn's Long Halftime Walk,"$30,930,984","$1,738,477",5.6%,"$29,192,507",94.4%,2016
160,Pandora,"$30,896,701",-,-,"$30,896,701",100%,2016
161,Norm of the North,"$30,734,502","$17,062,499",55.5%,"$13,672,003",44.5%,2016
162,When the Bough Breaks,"$30,658,387","$29,747,603",97%,"$910,784",3%,2016
163,S Storm,"$30,381,402",-,-,"$30,381,402",100%,2016
164,Nocturnal Animals,"$30,311,857","$10,663,357",35.2%,"$19,648,500",64.8%,2016
165,A Silent Voice: The Movie,"$30,277,098","$310,407",1%,"$29,966,691",99%,2016
166,Keeping Up with the Joneses,"$29,918,745","$14,904,426",49.8%,"$15,014,319",50.2%,2016
167,Jackie,"$29,777,777","$13,960,394",46.9%,"$15,817,383",53.1%,2016
168,Masterminds,"$29,674,699","$17,368,022",58.5%,"$12,306,677",41.5%,2016
169,Flight Crew,"$29,171,110",-,-,"$29,171,110",100%,2016
170,Viking,"$29,161,298",-,-,"$29,161,298",100%,2016
171,M.S. Dhoni: The Untold Story,"$28,903,047","$1,801,550",6.2%,"$27,101,497",93.8%,2016
172,Fan,"$28,240,000","$2,300,000",8.1%,"$25,940,000",91.9%,2016
173,"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!","$28,110,245",-,-,"$28,110,245",100%,2016
174,Welcome to Germany,"$28,036,021",-,-,"$28,036,021",100%,2016
175,The Brothers Grimsby,"$27,979,040","$6,874,837",24.6%,"$21,104,203",75.4%,2016
176,When Larry Meets Mary,"$27,863,090",-,-,"$27,863,090",100%,2016
177,Yesterday Once More,"$27,413,790",-,-,"$27,413,790",100%,2016
178,The Light Between Oceans,"$25,975,621","$12,545,979",48.3%,"$13,429,642",51.7%,2016
179,A Beautiful Planet,"$25,730,120","$15,650,615",60.8%,"$10,079,505",39.2%,2016
180,Mr. Donkey,"$25,537,759","$356,255",1.4%,"$25,181,504",98.6%,2016
181,Born in China,"$25,081,168","$13,873,211",55.3%,"$11,207,957",44.7%,2016
182,Race,"$25,070,261","$19,206,207",76.6%,"$5,864,054",23.4%,2016
183,Call of Heroes,"$25,040,561",-,-,"$25,040,561",100%,2016
184,Free State of Jones,"$25,035,950","$20,810,036",83.1%,"$4,225,914",16.9%,2016
185,Whiskey Tango Foxtrot,"$24,972,139","$23,083,334",92.4%,"$1,888,805",7.6%,2016
186,Soulmate,"$24,684,439",-,-,"$24,684,439",100%,2016
187,The Snow Queen 3: Fire and Ice,"$24,644,317",-,-,"$24,644,317",100%,2016
188,God's Not Dead 2,"$24,487,848","$20,774,575",84.8%,"$3,713,273",15.2%,2016
189,Camping 3,"$24,224,579",-,-,"$24,224,579",100%,2016
190,The Founder,"$24,121,245","$12,786,053",53%,"$11,335,192",47%,2016
191,Bad Santa 2,"$24,079,268","$17,782,178",73.8%,"$6,297,090",26.2%,2016
192,Spirits' Homecoming,"$23,857,217","$125,616",0.5%,"$23,731,601",99.5%,2016
193,Silence,"$23,834,809","$7,100,177",29.8%,"$16,734,632",70.2%,2016
194,Kevin Hart: What Now?,"$23,591,043","$23,591,043",100%,-,-,2016
195,No Manches Frida,"$23,540,937","$11,528,613",49%,"$12,012,324",51%,2016
196,Middle School: The Worst Years of My Life,"$23,316,139","$20,007,149",85.8%,"$3,308,990",14.2%,2016
197,Triple 9,"$23,177,948","$12,639,297",54.5%,"$10,538,651",45.5%,2016
198,Rock Dog,"$23,139,802","$9,420,546",40.7%,"$13,719,256",59.3%,2016
199,The Choice,"$23,064,015","$18,730,891",81.2%,"$4,333,124",18.8%,2016
200,Penny Pincher!,"$22,955,486",-,-,"$22,955,486",100%,2016
,,,,,,,2016
Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
1,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.3%,"$1,131,561,399",54.7%,2015
2,Jurassic World,"$1,670,400,637","$652,270,625",39%,"$1,018,130,012",61%,2015
3,Furious 7,"$1,515,047,671","$353,007,020",23.3%,"$1,162,040,651",76.7%,2015
4,Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",32.7%,"$943,800,000",67.3%,2015
5,Minions,"$1,159,398,397","$336,045,770",29%,"$823,352,627",71%,2015
6,Spectre,"$880,674,609","$200,074,609",22.7%,"$680,600,000",77.3%,2015
7,Inside Out,"$857,611,174","$356,461,711",41.6%,"$501,149,463",58.4%,2015
8,Mission: Impossible - Rogue Nation,"$682,714,267","$195,042,377",28.6%,"$487,671,890",71.4%,2015
9,The Hunger Games: Mockingjay - Part 2,"$653,428,261","$281,723,902",43.1%,"$371,704,359",56.9%,2015
10,The Martian,"$630,161,890","$228,433,663",36.2%,"$401,728,227",63.8%,2015
11,Fifty Shades of Grey,"$569,651,467","$166,167,230",29.2%,"$403,484,237",70.8%,2015
12,Cinderella,"$542,351,353","$201,151,353",37.1%,"$341,200,000",62.9%,2015
13,The Revenant,"$532,950,503","$183,637,894",34.5%,"$349,312,609",65.5%,2015
14,Ant-Man,"$519,311,965","$180,202,163",34.7%,"$339,109,802",65.3%,2015
15,Hotel Transylvania 2,"$474,800,000","$169,700,110",35.7%,"$305,099,890",64.3%,2015
16,San Andreas,"$474,590,832","$155,190,832",32.7%,"$319,400,000",67.3%,2015
17,Terminator Genisys,"$440,603,537","$89,760,956",20.4%,"$350,842,581",79.6%,2015
18,Kingsman: The Secret Service,"$414,351,546","$128,261,724",31%,"$286,089,822",69%,2015
19,Monster Hunt,"$387,053,506","$32,766",<0.1%,"$387,020,740",100%,2015
20,Home,"$386,041,607","$177,397,510",46%,"$208,644,097",54%,2015
21,Mad Max: Fury Road,"$379,436,354","$153,636,354",40.5%,"$225,800,000",59.5%,2015
22,The Good Dinosaur,"$332,207,671","$123,087,120",37.1%,"$209,120,551",62.9%,2015
23,Taken 3,"$326,479,141","$89,256,424",27.3%,"$237,222,717",72.7%,2015
24,The SpongeBob Movie: Sponge Out of Water,"$325,186,032","$162,994,032",50.1%,"$162,192,000",49.9%,2015
25,Maze Runner: The Scorch Trials,"$312,296,056","$81,697,192",26.2%,"$230,598,864",73.8%,2015
26,The Divergent Series: Insurgent,"$297,002,527","$130,179,072",43.8%,"$166,823,455",56.2%,2015
27,Pitch Perfect 2,"$287,144,079","$184,296,230",64.2%,"$102,847,849",35.8%,2015
28,Mojin: The Lost Legend,"$259,368,448","$1,243,810",0.5%,"$258,124,638",99.5%,2015
29,Lost in Hong Kong,"$256,283,912","$1,302,281",0.5%,"$254,981,631",99.5%,2015
30,The Peanuts Movie,"$246,233,113","$130,178,411",52.9%,"$116,054,702",47.1%,2015
31,Pixels,"$244,874,809","$78,747,585",32.2%,"$166,127,224",67.8%,2015
32,Daddy's Home,"$242,786,137","$150,357,137",61.9%,"$92,429,000",38.1%,2015
33,Spy,"$235,666,219","$110,825,712",47%,"$124,840,507",53%,2015
34,Alvin and the Chipmunks: The Road Chip,"$234,798,636","$85,886,987",36.6%,"$148,911,649",63.4%,2015
35,Goodbye Mr. Loser,"$228,122,928","$1,293,626",0.6%,"$226,829,302",99.4%,2015
36,Ted 2,"$215,863,606","$81,476,385",37.7%,"$134,387,221",62.3%,2015
37,Tomorrowland,"$209,035,668","$93,436,322",44.7%,"$115,599,346",55.3%,2015
38,Everest,"$203,427,584","$43,482,270",21.4%,"$159,945,314",78.6%,2015
39,Straight Outta Compton,"$201,634,991","$161,197,785",79.9%,"$40,437,206",20.1%,2015
40,The Intern,"$194,764,672","$75,764,672",38.9%,"$119,000,000",61.1%,2015
41,Jian Bing Man,"$186,683,536",-,-,"$186,683,536",100%,2015
42,Jupiter Ascending,"$184,287,723","$47,387,723",25.7%,"$136,900,000",74.3%,2015
43,Creed,"$174,167,581","$109,767,581",63%,"$64,400,000",37%,2015
44,Fantastic Four,"$167,882,881","$56,117,548",33.4%,"$111,765,333",66.6%,2015
45,Bridge of Spies,"$165,478,348","$72,313,754",43.7%,"$93,164,594",56.3%,2015
46,From Vegas to Macau II,"$163,877,532",-,-,"$163,877,532",100%,2015
