Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
47,Focus,"$159,162,963","$53,862,963",33.8%,"$105,300,000",66.2%,2015
48,Goosebumps,"$158,260,952","$80,080,379",50.6%,"$78,180,573",49.4%,2015
49,Ip Man 3,"$156,954,938","$2,679,437",1.7%,"$154,275,501",98.3%,2015
50,The Hateful Eight,"$155,760,117","$54,117,416",34.7%,"$101,642,701",65.3%,2015
51,Monkey King: Hero Is Back,"$153,262,397",-,-,"$153,262,397",100%,2015
52,Gods of Egypt,"$150,680,864","$31,153,464",20.7%,"$119,527,400",79.3%,2015
53,The Last Witch Hunter,"$146,936,910","$27,367,660",18.6%,"$119,569,250",81.4%,2015
54,Trainwreck,"$140,795,793","$110,212,700",78.3%,"$30,583,093",21.7%,2015
55,Mr. Six,"$139,191,345","$1,415,450",1%,"$137,775,895",99%,2015
56,Point Break,"$133,782,481","$28,782,481",21.5%,"$105,000,000",78.5%,2015
57,The Big Short,"$133,440,870","$70,259,870",52.7%,"$63,181,000",47.3%,2015
58,Pan,"$128,988,320","$35,088,320",27.2%,"$93,900,000",72.8%,2015
59,Detective Chinatown,"$125,842,935","$474,252",0.4%,"$125,368,683",99.6%,2015
60,Wolf Totem,"$125,837,070","$210,591",0.2%,"$125,626,479",99.8%,2015
61,Ride Along 2,"$124,605,297","$91,221,830",73.2%,"$33,383,467",26.8%,2015
62,Magic Mike XXL,"$122,613,057","$66,013,057",53.8%,"$56,600,000",46.2%,2015
63,Dragon Blade,"$122,593,849","$74,068",<0.1%,"$122,519,781",99.9%,2015
64,Insidious: Chapter 3,"$112,983,889","$52,218,558",46.2%,"$60,765,331",53.8%,2015
65,Get Hard,"$111,811,453","$90,411,453",80.9%,"$21,400,000",19.1%,2015
66,The Man from U.N.C.L.E.,"$110,045,109","$45,445,109",41.3%,"$64,600,000",58.7%,2015
67,The 5th Wave,"$109,906,372","$34,916,787",31.8%,"$74,989,585",68.2%,2015
68,Paul Blart: Mall Cop 2,"$107,588,225","$71,038,190",66%,"$36,550,035",34%,2015
69,Vacation,"$107,228,221","$58,884,188",54.9%,"$48,344,033",45.1%,2015
70,Chronicles of the Ghostly Tribe,"$106,380,000",-,-,"$106,380,000",100%,2015
71,Shaun the Sheep Movie,"$106,209,378","$19,375,982",18.2%,"$86,833,396",81.8%,2015
72,Sisters,"$105,011,053","$87,044,645",82.9%,"$17,966,408",17.1%,2015
73,Chappie,"$102,811,889","$31,569,268",30.7%,"$71,242,621",69.3%,2015
74,Joy,"$101,134,059","$56,451,232",55.8%,"$44,682,827",44.2%,2015
75,Black Mass,"$99,975,678","$62,575,678",62.6%,"$37,400,000",37.4%,2015
76,Spotlight,"$98,690,254","$45,055,776",45.7%,"$53,634,478",54.3%,2015
77,Devil and Angel,"$98,599,942","$131,058",0.1%,"$98,468,884",99.9%,2015
78,The Visit,"$98,450,062","$65,206,105",66.2%,"$33,243,957",33.8%,2015
79,The Little Prince,"$97,571,250","$1,339,152",1.4%,"$96,232,098",98.6%,2015
80,Assassination,"$96,119,773","$1,904,682",2%,"$94,215,091",98%,2015
81,Poltergeist,"$95,437,994","$47,425,125",49.7%,"$48,012,869",50.3%,2015
82,Veteran,"$94,393,020","$1,200,627",1.3%,"$93,192,393",98.7%,2015
83,In the Heart of the Sea,"$94,320,758","$25,020,758",26.5%,"$69,300,000",73.5%,2015
84,Kill Zone 2,"$93,638,358","$11,998",<0.1%,"$93,626,360",100%,2015
85,Southpaw,"$91,970,827","$52,421,953",57%,"$39,548,874",43%,2015
86,The Second Best Exotic Marigold Hotel,"$85,978,266","$33,078,266",38.5%,"$52,900,000",61.5%,2015
87,Paper Towns,"$85,512,300","$32,000,304",37.4%,"$53,511,996",62.6%,2015
88,Sicario,"$84,872,444","$46,889,293",55.2%,"$37,983,151",44.8%,2015
89,Our Times,"$83,867,493",-,-,"$83,867,493",100%,2015
90,Suck Me Shakespeer 2,"$83,027,924",-,-,"$83,027,924",100%,2015
91,Hitman: Agent 47,"$82,347,656","$22,467,450",27.3%,"$59,880,206",72.7%,2015
92,Wolf Warrior,"$81,411,331",-,-,"$81,411,331",100%,2015
93,Go Away Mr. Tumor,"$80,606,893","$286,639",0.4%,"$80,320,254",99.6%,2015
94,The Wedding Ringer,"$79,799,880","$64,460,211",80.8%,"$15,339,669",19.2%,2015
95,Paranormal Activity: The Ghost Dimension,"$78,903,124","$18,300,124",23.2%,"$60,603,000",76.8%,2015
96,The Left Ear,"$78,015,473",-,-,"$78,015,473",100%,2015
97,Tiny Times 4.0,"$77,750,000",-,-,"$77,750,000",100%,2015
98,Bajrangi Bhaijaan,"$75,547,184","$8,178,001",10.8%,"$67,369,183",89.2%,2015
99,War Room,"$73,267,874","$67,790,117",92.5%,"$5,477,757",7.5%,2015
100,The Transporter Refueled,"$72,629,670","$16,029,670",22.1%,"$56,600,000",77.9%,2015
101,Run All Night,"$71,661,644","$26,461,644",36.9%,"$45,200,000",63.1%,2015
102,13 Hours,"$69,411,370","$52,853,219",76.1%,"$16,558,151",23.9%,2015
103,Running Man,"$68,782,475","$310,978",0.5%,"$68,471,497",99.5%,2015
104,A Violent Prosecutor,"$66,736,633",-,-,"$66,736,633",100%,2015
105,The Age of Adaline,"$65,663,276","$42,629,776",64.9%,"$23,033,500",35.1%,2015
106,Monk Comes Down the Mountain,"$64,455,686",-,-,"$64,455,686",100%,2015
107,Zhongkui: Snow Girl and the Dark Crystal,"$64,325,947","$165,428",0.3%,"$64,160,519",99.7%,2015
108,The Danish Girl,"$64,191,523","$11,114,018",17.3%,"$53,077,505",82.7%,2015
109,The Boy,"$64,188,367","$35,819,556",55.8%,"$28,368,811",44.2%,2015
110,The Hundred Regiments Offensive,"$63,230,000",-,-,"$63,230,000",100%,2015
111,The Longest Ride,"$62,944,815","$37,446,117",59.5%,"$25,498,698",40.5%,2015
112,Unfriended,"$62,882,090","$32,482,090",51.7%,"$30,400,000",48.3%,2015
113,Brooklyn,"$62,076,141","$38,322,743",61.7%,"$23,753,398",38.3%,2015
114,Dragon Ball Z: Resurrection 'F',"$61,768,190","$8,008,363",13%,"$53,759,827",87%,2015
115,Woman in Gold,"$61,619,773","$33,307,793",54.1%,"$28,311,980",45.9%,2015
116,Krampus,"$61,548,707","$42,725,475",69.4%,"$18,823,232",30.6%,2015
117,The Perfect Guy,"$60,273,173","$57,027,435",94.6%,"$3,245,738",5.4%,2015
118,Forever Young,"$59,981,902","$149,761",0.2%,"$59,832,141",99.8%,2015
119,Miss Granny,"$59,396,311","$234,573",0.4%,"$59,161,738",99.6%,2015
120,The Gift,"$58,978,653","$43,787,265",74.2%,"$15,191,388",25.8%,2015
121,You Are My Sunshine,"$56,640,000",-,-,"$56,640,000",100%,2015
122,No Escape,"$54,418,872","$27,288,872",50.1%,"$27,130,000",49.9%,2015
123,Sinister 2,"$53,329,150","$27,740,955",52%,"$25,588,195",48%,2015
124,Detective Conan: Sunflowers of Inferno,"$52,920,296",-,-,"$52,920,296",100%,2015
125,Prem Ratan Dhan Payo,"$52,715,771","$4,364,639",8.3%,"$48,351,132",91.7%,2015
126,The Boy Next Door,"$52,425,855","$35,423,380",67.6%,"$17,002,475",32.4%,2015
127,The Night Before,"$52,395,996","$43,047,372",82.2%,"$9,348,624",17.8%,2015
128,Hollywood Adventures,"$52,265,070",-,-,"$52,265,070",100%,2015
129,"Yo-kai Watch Movie: It's the Secret of Birth, Meow!","$51,838,845","$257,343",0.5%,"$51,581,502",99.5%,2015
130,Hot Pursuit,"$51,680,201","$34,580,201",66.9%,"$17,100,000",33.1%,2015
131,The Himalayas,"$50,544,493","$696,717",1.4%,"$49,847,776",98.6%,2015
132,The Boy and the Beast,"$49,714,378","$490,643",1%,"$49,223,735",99%,2015
133,Surprise,"$49,567,466",-,-,"$49,567,466",100%,2015
134,Entourage,"$49,263,404","$32,363,404",65.7%,"$16,900,000",34.3%,2015
135,The Woman in Black 2: Angel of Death,"$48,854,305","$26,501,323",54.2%,"$22,352,982",45.8%,2015
136,Concussion,"$48,623,572","$34,542,474",71%,"$14,081,098",29%,2015
137,Inside Men,"$47,616,503",-,-,"$47,616,503",100%,2015
138,The Dead End,"$47,600,000",-,-,"$47,600,000",100%,2015
139,Boonie Bears: A Mystical Winter,"$47,581,416",-,-,"$47,581,416",100%,2015
140,Mortdecai,"$47,275,695","$7,696,134",16.3%,"$39,579,561",83.7%,2015
141,Let's Get Married,"$45,972,724","$462,918",1%,"$45,509,806",99%,2015
142,Somewhere Only We Know,"$45,737,711","$482,341",1.1%,"$45,255,370",98.9%,2015
143,"McFarland, USA","$45,710,059","$44,482,410",97.3%,"$1,227,649",2.7%,2015
144,Hero,"$45,565,534","$88,675",0.2%,"$45,476,859",99.8%,2015
145,Still Alice,"$44,779,195","$18,754,371",41.9%,"$26,024,824",58.1%,2015
146,Max,"$43,956,255","$42,656,255",97%,"$1,300,000",3%,2015
147,The DUFF,"$43,709,744","$34,030,343",77.9%,"$9,679,401",22.1%,2015
148,Legend,"$42,972,994","$1,872,994",4.4%,"$41,100,000",95.6%,2015
149,The Gallows,"$42,964,410","$22,764,410",53%,"$20,200,000",47%,2015
150,Love the Coopers,"$42,426,912","$26,302,731",62%,"$16,124,181",38%,2015
151,The Throne,"$42,165,755",-,-,"$42,165,755",100%,2015
152,The Lady in the Van,"$41,387,687","$10,021,175",24.2%,"$31,366,512",75.8%,2015
153,Ricki and the Flash,"$41,325,328","$26,822,144",64.9%,"$14,503,184",35.1%,2015
154,Spanish Affair 2,"$40,591,862",-,-,"$40,591,862",100%,2015
155,Carol,"$40,272,135","$12,711,491",31.6%,"$27,560,644",68.4%,2015
156,Northern Limit Line,"$40,034,677","$337,907",0.8%,"$39,696,770",99.2%,2015
157,Ex-Files 2: The Backup Strikes Back,"$39,108,291",-,-,"$39,108,291",100%,2015
158,Criminal,"$38,803,993","$14,708,696",37.9%,"$24,095,297",62.1%,2015
159,Boruto: Naruto the Movie,"$38,362,448","$919,651",2.4%,"$37,442,797",97.6%,2015
160,The Lazarus Effect,"$38,356,892","$25,801,570",67.3%,"$12,555,322",32.7%,2015
161,Helios,"$37,938,005",-,-,"$37,938,005",100%,2015
162,A Walk in the Woods,"$37,461,274","$29,504,281",78.8%,"$7,956,993",21.2%,2015
163,Ex Machina,"$36,869,414","$25,442,958",69%,"$11,426,456",31%,2015
164,Burnt,"$36,606,743","$13,651,946",37.3%,"$22,954,797",62.7%,2015
165,The Priests,"$36,577,134","$185,093",0.5%,"$36,392,041",99.5%,2015
166,The New Adventures of Aladdin,"$35,771,820",-,-,"$35,771,820",100%,2015
167,Heidi,"$35,755,670",-,-,"$35,755,670",100%,2015
168,Room,"$35,401,758","$14,677,654",41.5%,"$20,724,104",58.5%,2015
169,Lost and Love,"$34,930,177","$188,817",0.5%,"$34,741,360",99.5%,2015
170,Secret in Their Eyes,"$34,854,990","$20,180,155",57.9%,"$14,674,835",42.1%,2015
171,"Dad, Where Are We Going 2","$34,840,000",-,-,"$34,840,000",100%,2015
172,Doraemon: Nobita no uchuu eiyuuki,"$34,811,747",-,-,"$34,811,747",100%,2015
173,Steve Jobs,"$34,441,873","$17,766,658",51.6%,"$16,675,215",48.4%,2015
174,Victor Frankenstein,"$34,227,298","$5,775,076",16.9%,"$28,452,222",83.1%,2015
175,The Witness,"$33,963,557","$418,063",1.2%,"$33,545,494",98.8%,2015
176,Project Almanac,"$33,213,241","$22,348,241",67.3%,"$10,865,000",32.7%,2015
177,Dilwale,"$31,994,323","$4,871,263",15.2%,"$27,123,060",84.8%,2015
178,Suffragette,"$31,972,096","$4,702,420",14.7%,"$27,269,676",85.3%,2015
179,Self/less,"$31,807,156","$12,279,691",38.6%,"$19,527,465",61.4%,2015
180,Saving Mr. Wu,"$31,222,161","$92,696",0.3%,"$31,129,465",99.7%,2015
181,Attack on Titan Part 1,"$30,810,658","$449,523",1.5%,"$30,361,135",98.5%,2015
182,A Man Called Ove,"$30,692,889","$3,479,315",11.3%,"$27,213,574",88.7%,2015
183,Far from the Madding Crowd,"$30,229,977","$12,236,500",40.5%,"$17,993,477",59.5%,2015
184,Mr. Holmes,"$29,355,203","$17,737,646",60.4%,"$11,617,557",39.6%,2015
185,Love & Mercy,"$28,641,776","$12,551,031",43.8%,"$16,090,745",56.2%,2015
186,Flying Colors,"$28,525,563",-,-,"$28,525,563",100%,2015
187,Triumph in the Skies,"$28,085,162",-,-,"$28,085,162",100%,2015
188,The 33,"$27,972,023","$12,227,722",43.7%,"$15,744,301",56.3%,2015
189,Bride Wars,"$27,670,000",-,-,"$27,670,000",100%,2015
190,Irrational Man,"$27,391,084","$4,030,360",14.7%,"$23,360,724",85.3%,2015
191,Detective K: Secret of the Lost Island,"$27,387,870","$185,367",0.7%,"$27,202,503",99.3%,2015
192,To the Fore,"$27,267,799",-,-,"$27,267,799",100%,2015
193,American Ultra,"$27,262,374","$14,440,985",53%,"$12,821,389",47%,2015
194,Orange,"$26,261,536",-,-,"$26,261,536",100%,2015
195,Aloha,"$26,250,020","$21,067,116",80.3%,"$5,182,904",19.7%,2015
196,Huevos: Little Rooster's Egg-cellent Adventure,"$25,892,561","$9,080,818",35.1%,"$16,811,743",64.9%,2015
197,Dügün Dernek 2: Sünnet,"$25,836,668",-,-,"$25,836,668",100%,2015
198,Look Who's Back,"$25,513,752",-,-,"$25,513,752",100%,2015
199,Serial Teachers 2,"$25,364,150",-,-,"$25,364,150",100%,2015
200,Wild City,"$24,817,852","$34,866",0.1%,"$24,782,986",99.9%,2015
,,,,,,,2015
