Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$24,209,385","Me, Myself & Irene",Twentieth Century Fox,"June 23, 2000 (Domestic)",R,1 hr 56 min,,A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,"['Jim Carrey', 'Renée Zellweger', 'Anthony Anderson', 'Mongo Brownlee']","['Bobby Farrelly', 'Peter Farrelly', 'Peter Farrelly', 'Mike Cerrone', 'Bobby Farrelly', 'Bobby Farrelly', 'Peter Farrelly', 'Bradley Thomas', 'Lee Scott', 'Pete Yorn', 'Mark Irwin', 'Christopher Greenbury', 'Sydney J. Bartholomew Jr.']"
"$15,277,921",The Beach,Twentieth Century Fox,"February 11, 2000 (Domestic)",R,1 hr 59 min,,"On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise.","['Leonardo DiCaprio', 'Tilda Swinton', 'Daniel York', 'Patcharawan Patarakijjanon']","['Danny Boyle', 'John Hodge', 'Alex Garland', 'Andrew Macdonald', 'Angelo Badalamenti', 'Darius Khondji', 'Masahiro Hirakubo', 'Andrew McAlpine']"
"$20,905,831",Remember the Titans,Walt Disney Studios Motion Pictures,"September 29, 2000 (Domestic)",PG,1 hr 53 min,,"In 1971 Virginia high school football was everything to the people of Alexandria. But when the school board was forced to integrate an all-black school with an all-white one, the very foundation of football's tradition was put to the test.","['Denzel Washington', 'Will Patton', 'Wood Harris', 'Ryan Hurst']","['Boaz Yakin', 'Gregory Allen Howard', 'Jerry Bruckheimer', 'Chad Oman', 'Trevor Rabin', 'Philippe Rousselot', 'Michael Tronick', 'Deborah Evans']"
"$19,575,608",Pokémon the Movie 2000,Warner Bros.,"July 21, 2000 (Domestic)",,1 hr 24 min,Action Adventure Animation Comedy Drama Family Fantasy,"Ash Ketchum must gather the three spheres of fire, ice and lightning in order to restore balance to the Orange Islands.","['Veronica Taylor', 'Rica Matsumoto', 'Ikue Ôtani', 'Unshô Ishizuka']","['Kunihiko Yuyama', 'Satoshi Tajiri', 'Takeshi Shudô', 'Yukako Matsusako', 'Takemoto Mori', 'Ken Sakamoto', 'Chôji Yoshikawa', 'Manny Corallo', 'Pat Irwin', 'John Lissauer', 'John Loeffler', 'Shinji Miyazaki', 'Ralph Schuckett', 'Hisao Shirai', 'Toshio Henmi']"
"$18,093,776",Space Cowboys,Warner Bros.,"August 4, 2000 (Domestic)",PG-13,2 hr 10 min,,"When retired engineer Frank Corvin is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.","['Clint Eastwood', 'Tommy Lee Jones', 'Donald Sutherland', 'James Garner']","['Clint Eastwood', 'Ken Kaufman', 'Howard Klausner', 'Clint Eastwood', 'Andrew Lazar', 'Lennie Niehaus', 'Jack N. Green', 'Joel Cox', 'Henry Bumstead']"
"$19,553,310",U-571,Universal Pictures,"April 21, 2000 (Domestic)",PG-13,1 hr 56 min,,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,"['Matthew McConaughey', 'Bill Paxton', 'Harvey Keitel', 'Jon Bon Jovi']","['Jonathan Mostow', 'Jonathan Mostow', 'Jonathan Mostow', 'Sam Montgomery', 'David Ayer', 'Dino De Laurentiis', 'Martha De Laurentiis', 'Richard Marvin', 'Oliver Wood', 'Wayne Wahrman', 'William Ladd Skinner', 'Götz Weidner']"
"$10,554,960",The Family Man,Universal Pictures,"December 14, 2000 (Germany)",PG-13,2 hr 5 min,,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.","['Nicolas Cage', 'Téa Leoni', 'Don Cheadle', 'Jeremy Piven']","['Brett Ratner', 'David Diamond', 'David Weissman', 'Marc Abraham', 'Tony Ludwig', 'Alan Riche', 'Howard Rosenman', 'Danny Elfman', 'Dante Spinotti', 'Mark Helfrich', 'Kristi Zea']"
"$15,484,004",Road Trip,DreamWorks Distribution,"May 19, 2000 (Domestic)",R,1 hr 33 min,,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,"['Breckin Meyer', 'Seann William Scott', 'Amy Smart', 'Paulo Costanzo']","['Todd Phillips', 'Todd Phillips', 'Scot Armstrong', 'Daniel Goldberg', 'Joe Medjuck', 'Michael Simpson', 'Mark Irwin', 'Sheldon Kahn', 'Clark Hunter']"
"$17,319,282",Coyote Ugly,Walt Disney Studios Motion Pictures,"August 4, 2000 (Domestic)",PG-13,1 hr 40 min,,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.","['Piper Perabo', 'Adam Garcia', 'John Goodman', 'Maria Bello']","['David McNally', 'Gina Wendkos', 'Jerry Bruckheimer', 'Chad Oman', 'Trevor Horn', 'Amir Mokri', 'William Goldenberg', 'Jon Hutman']"
"$10,015,822",Final Destination,New Line Cinema,"March 17, 2000 (Domestic)",R,1 hr 38 min,,"After getting a premonition about a plane crash on his school trip, Alex, a student saves a few of his classmates. However, their situation gets complicated when death starts chasing them.","['Devon Sawa', 'Ali Larter', 'Kerr Smith', 'Kristen Cloke']","['James Wong', 'Glen Morgan', 'James Wong', 'Jeffrey Reddick', 'Jeffrey Reddick', 'Glen Morgan', 'Craig Perry', 'Warren Zide', 'Adam Hamilton', 'Shirley Walker', 'Robert McLachlan', 'James Coblentz', 'John Willett']"
