Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$83,517,315",Despicable Me 2,Universal Pictures,"June 20, 2013 (Australia)",PG,1 hr 38 min,,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, he has to fight back with new gadgetry, cars, and more minion madness.","['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt', 'Miranda Cosgrove']","['Pierre Coffin', 'Chris Renaud', 'Cinco Paul', 'Ken Daurio', 'Janet Healy', 'Christopher Meledandri', 'Heitor Pereira', 'Pharrell Williams', 'Gregory Perler', 'Yarrow Cheney', 'Eric Guillon']"
"$73,645,197",The Hobbit: The Desolation of Smaug,Warner Bros.,"December 11, 2013 (EMEA, APAC)",PG-13,2 hr 41 min,Adventure Drama Fantasy,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim the Lonely Mountain, their homeland, from the dragon Smaug.","['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Ken Stott']","['Peter Jackson', 'Fran Walsh', 'Philippa Boyens', 'Peter Jackson', 'Guillermo del Toro', 'J.R.R. Tolkien', 'Carolynne Cunningham', 'Peter Jackson', 'Eric Monette', 'Fran Walsh', 'Zane Weiner', 'Howard Shore', 'Andrew Lesnie', 'Jabez Olssen', 'Dan Hennah']"
"$158,074,286",The Hunger Games: Catching Fire,Lionsgate Films,"November 15, 2013 (Brazil)",PG-13,2 hr 26 min,,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Philip Seymour Hoffman']","['Francis Lawrence', 'Simon Beaufoy', 'Michael Arndt', 'Suzanne Collins', 'Nina Jacobson', 'Jon Kilik', 'James Newton Howard', 'Jo Willems', 'Alan Edward Bell', 'Philip Messina']"
"$97,375,245",Fast & Furious 6,Universal Pictures,"May 17, 2013 (United Kingdom)",PG-13,2 hr 10 min,,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries, but Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez']","['Justin Lin', 'Chris Morgan', 'Gary Scott Thompson', 'Vin Diesel', 'Neal H. Moritz', 'Clayton Townsend', 'Lucas Vidal', 'Stephen F. Windon', ""Greg D'Auria"", 'Leigh Folsom Boyd', 'Dylan Highsmith', 'Kelly Matsumoto', 'Christian Wagner', 'Jan Roelfs']"
"$82,429,469",Monsters University,Walt Disney Studios Motion Pictures,"June 19, 2013 (Egypt)",G,1 hr 44 min,Adventure Animation Comedy Family Fantasy,"A look at the relationship between Mike Wazowski and James P. ""Sully"" Sullivan during their days at Monsters University, when they weren't necessarily the best of friends.","['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren']","['Dan Scanlon', 'Dan Scanlon', 'Daniel Gerson', 'Robert L. Baird', 'Daniel Gerson', 'Robert L. Baird', 'Dan Scanlon', 'Kori Rae', 'Randy Newman', 'Jean-Claude Kalache', 'Greg Snyder', 'Ricky Nierva']"
"$55,785,112",Gravity,Warner Bros.,"October 3, 2013 (APAC, EMEA)",PG-13,1 hr 31 min,,"Dr Ryan Stone, an engineer on her first time on a space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking.","['Sandra Bullock', 'George Clooney', 'Ed Harris', 'Orto Ignatiussen']","['Alfonso Cuarón', 'Alfonso Cuarón', 'Jonás Cuarón', 'Alfonso Cuarón', 'David Heyman', 'Steven Price', 'Emmanuel Lubezki', 'Alfonso Cuarón', 'Mark Sanger', 'Andy Nicholson']"
"$116,619,362",Man of Steel,Warner Bros.,"June 12, 2013 (APAC, EMEA)",PG-13,2 hr 23 min,,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.,"['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Diane Lane']","['Zack Snyder', 'David S. Goyer', 'David S. Goyer', 'Christopher Nolan', 'Jerry Siegel', 'Joe Shuster', 'Christopher Nolan', 'Charles Roven', 'Deborah Snyder', 'Emma Thomas', 'Hans Zimmer', 'Amir Mokri', 'David Brenner', 'Alex McDowell']"
"$85,737,841",Thor: The Dark World,Walt Disney Studios Motion Pictures,"October 30, 2013 (EMEA, APAC)",PG-13,1 hr 52 min,,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.","['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård']","['Alan Taylor', 'Christopher L. Yost', 'Christopher Markus', 'Stephen McFeely', 'Don Payne', 'Robert Rodat', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Walter Simonson', 'Kenneth Branagh', 'Kevin Feige', 'Brian Tyler', 'Kramer Morgenthau', 'Dan Lebental', 'Wyatt Smith', 'Charles Wood']"
"$43,639,736",The Croods,Twentieth Century Fox,"March 15, 2013 (East Africa)",PG,1 hr 38 min,,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.","['Nicolas Cage', 'Ryan Reynolds', 'Emma Stone', 'Catherine Keener']","['Kirk DeMicco', 'Chris Sanders', 'Kirk DeMicco', 'Chris Sanders', 'John Cleese', 'Kirk DeMicco', 'Chris Sanders', 'Kristine Belson', 'Jane Hartwell', 'Alan Silvestri', 'Darren T. Holmes', 'Christophe Lautrette']"
"$66,411,834",World War Z,Paramount Pictures,"June 19, 2013 (APAC, EMEA)",PG-13,1 hr 56 min,,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,"['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz', 'James Badge Dale']","['Marc Forster', 'Matthew Michael Carnahan', 'Drew Goddard', 'Damon Lindelof', 'Matthew Michael Carnahan', 'J. Michael Straczynski', 'Max Brooks', 'Ian Bryce', 'Dede Gardner', 'Jeremy Kleiner', 'Brad Pitt', 'Marco Beltrami', 'Ben Seresin', 'Roger Barton', 'Matt Chesse', 'Nigel Phelps']"
