Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$30,552,694",The Pacifier,Walt Disney Studios Motion Pictures,"March 4, 2005 (Domestic)",PG,1 hr 35 min,,"Having recovered from wounds received in a failed rescue operation, Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house.","['Vin Diesel', 'Brittany Snow', 'Max Thieriot', 'Brad Garrett']","['Adam Shankman', 'Thomas Lennon', 'Robert Ben Garant', 'Gary Barber', 'Roger Birnbaum', 'Jonathan Glickman', 'John Debney', 'Peter James', 'Christopher Greenbury', 'Linda DeScenna']"
"$16,025,987",Wallace & Gromit: The Curse of the Were-Rabbit,DreamWorks Distribution,"September 15, 2005 (APAC)",,1 hr 25 min,Adventure Animation Comedy Family Fantasy Mystery Sci-Fi,"Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.","['Peter Sallis', 'Helena Bonham Carter', 'Ralph Fiennes', 'Peter Kay']","['Steve Box', 'Nick Park', 'Steve Box', 'Nick Park', 'Mark Burton', 'Bob Baker', 'Nick Park', 'Claire Jennings', 'Peter Lord', 'Nick Park', 'Carla Shelley', 'David Sproxton', 'Julian Nott', 'Tristan Oliver', 'Dave Alex Riddett', 'David McCormick', 'Angharad Owen', 'Gregory Perler', 'Phil Lewis']"
"$47,606,480",The Longest Yard,Paramount Pictures,"May 27, 2005 (Domestic)",PG-13,1 hr 53 min,,Prison inmates form a football team to challenge the prison guards.,"['Adam Sandler', 'Burt Reynolds', 'Chris Rock', 'Nelly']","['Peter Segal', 'Albert S. Ruddy', 'Tracy Keenan Wynn', 'Sheldon Turner', 'Jack Giarraputo', 'Teddy Castellucci', 'Dean Semler', 'Jeff Gourson', 'Perry Andelin Blake']"
"$22,347,341",Walk the Line,Twentieth Century Fox,"February 2, 2005 (Czech Republic/Slovakia)",PG-13,2 hr 16 min,,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.","['Joaquin Phoenix', 'Reese Witherspoon', 'Ginnifer Goodwin', 'Robert Patrick']","['James Mangold', 'Johnny Cash', 'Johnny Cash', 'Gill Dennis', 'James Mangold', 'Patrick Carr', 'James Keach', 'Cathy Konrad', 'T Bone Burnett', 'Phedon Papamichael', 'Michael McCusker', 'David J. Bomba']"
"$547,425",Brokeback Mountain,Focus Features,"December 9, 2005 (Domestic)",R,2 hr 14 min,,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,"['Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid']","['Ang Lee', 'Annie Proulx', 'Larry McMurtry', 'Diana Ossana', 'Diana Ossana', 'James Schamus', 'Gustavo Santaolalla', 'Rodrigo Prieto', 'Geraldine Peroni', 'Dylan Tichenor', 'Judy Becker']"
"$21,422,815",The 40-Year-Old Virgin,Universal Pictures,"August 19, 2005 (Domestic)",R,1 hr 56 min,,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.","['Steve Carell', 'Catherine Keener', 'Paul Rudd', 'Romany Malco']","['Judd Apatow', 'Judd Apatow', 'Steve Carell', 'Judd Apatow', 'Shauna Robertson', 'Clayton Townsend', 'Lyle Workman', 'Jack N. Green', 'Brent White', 'Jackson De Govia']"
"$35,065,237",The Ring Two,DreamWorks Distribution,"March 17, 2005 (EMEA, APAC)",PG-13,1 hr 50 min,Horror Mystery,"6 months after the incidents involving the lethal videotape, new clues prove that there is a new evil lurking in the darkness.","['Naomi Watts', 'David Dorfman', 'Sissy Spacek', 'Simon Baker']","['Hideo Nakata', 'Ehren Kruger', 'Kôji Suzuki', 'Hiroshi Takahashi', 'Laurie MacDonald', 'Walter F. Parkes', 'Henning Lohner', 'Martin Tillman', 'Gabriel Beristain', 'Michael N. Knue', 'Jim Bissell']"
"$12,409,070",The Island,DreamWorks Distribution,"July 21, 2005 (APAC)",PG-13,2 hr 16 min,,"A man living in a futuristic sterile colony begins to question his circumscribed existence when his friend is chosen to go to the Island, the last uncontaminated place on earth.","['Scarlett Johansson', 'Ewan McGregor', 'Djimon Hounsou', 'Steve Buscemi']","['Michael Bay', 'Caspian Tredwell-Owen', 'Caspian Tredwell-Owen', 'Alex Kurtzman', 'Roberto Orci', 'Michael Bay', 'Ian Bryce', 'Walter F. Parkes', 'Steve Jablonsky', 'Mauro Fiore', 'Paul Rubell', 'Christian Wagner', 'Nigel Phelps']"
"$22,822,455",The Interpreter,Universal Pictures,"April 8, 2005 (Greece)",PG-13,2 hr 8 min,,"Political intrigue and deception unfold inside the United Nations, where a U.S. Secret Service agent is assigned to investigate an interpreter who overhears an assassination plot.","['Nicole Kidman', 'Sean Penn', 'Catherine Keener', 'Jesper Christensen']","['Sydney Pollack', 'Martin Stellman', 'Brian Ward', 'Charles Randolph', 'Scott Frank', 'Steven Zaillian', 'Tim Bevan', 'Eric Fellner', 'Kevin Misher', 'James Newton Howard', 'Darius Khondji', 'William Steinkamp', 'Jon Hutman']"
"$682,504",Memoirs of a Geisha,Sony Pictures Releasing,"December 9, 2005 (Domestic)",PG-13,2 hr 25 min,,"The heartwarming tale of Nitta Sayuri, a young Japanese woman who transcended from her fishing-village roots and became one of Japan's most celebrated geisha.","['Ziyi Zhang', 'Ken Watanabe', 'Michelle Yeoh', 'Suzuka Ohgo']","['Rob Marshall', 'Robin Swicord', 'Arthur Golden', 'Lucy Fisher', 'Steven Spielberg', 'Douglas Wick', 'John Williams', 'Dion Beebe', 'Pietro Scalia', 'John Myhre']"
