Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$22,862,269",The Princess Diaries,Walt Disney Studios Motion Pictures,"August 3, 2001 (Domestic)",G,1 hr 55 min,,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.","['Julie Andrews', 'Anne Hathaway', 'Hector Elizondo', 'Heather Matarazzo']","['Garry Marshall', 'Meg Cabot', 'Gina Wendkos', 'Debra Martin Chase', 'Whitney Houston', 'Mario Iscovich', 'John Debney', 'Karl Walter Lindenlaub', 'Bruce Green', 'Mayne Berke']"
"$26,546,881",Spy Kids,Miramax,"March 30, 2001 (Domestic)",PG,1 hr 28 min,,"Using high tech gadgets, two kids have to save their reactivated OSS top spy parents when they're taken by an evil, high tech enemy.","['Alexa PenaVega', 'Daryl Sabara', 'Antonio Banderas', 'Carla Gugino']","['Robert Rodriguez', 'Robert Rodriguez', 'Elizabeth Avellan', 'Robert Rodriguez', 'John Debney', 'Danny Elfman', 'Harry Gregson-Williams', 'Los Lobos', 'Robert Rodriguez', 'Guillermo Navarro', 'Robert Rodriguez', 'Cary White']"
"$20,108,829",The Mexican,DreamWorks Distribution,"March 2, 2001 (Domestic)",R,2 hr 3 min,,"A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways.","['Brad Pitt', 'Julia Roberts', 'James Gandolfini', 'J.K. Simmons']","['Gore Verbinski', 'J.H. Wyman', 'John Baldecchi', 'Lawrence Bender', 'Alan Silvestri', 'Dariusz Wolski', 'Craig Wood', 'Cecilia Montiel']"
"$18,145,632",Swordfish,Warner Bros.,"June 8, 2001 (Domestic)",R,1 hr 39 min,,"A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him.","['John Travolta', 'Hugh Jackman', 'Halle Berry', 'Don Cheadle']","['Dominic Sena', 'Skip Woods', 'Jonathan D. Krane', 'Joel Silver', 'Paul Oakenfold', 'Christopher Young', 'Paul Cameron', 'Stephen E. Rivkin', 'Jeff Mann']"
"$21,689,125",Spy Game,Universal Pictures,"November 21, 2001 (Domestic)",R,2 hr 6 min,,Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.,"['Robert Redford', 'Brad Pitt', 'Catherine McCormack', 'Stephen Dillane']","['Tony Scott', 'Michael Frost Beckner', 'Michael Frost Beckner', 'David Arata', 'Marc Abraham', 'Douglas Wick', 'Harry Gregson-Williams', 'Dan Mindel', 'Christian Wagner', 'Norris Spencer']"
"$20,377,426",Legally Blonde,Metro-Goldwyn-Mayer (MGM),"July 13, 2001 (Domestic)",,1 hr 36 min,Comedy Romance,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.","['Reese Witherspoon', 'Luke Wilson', 'Selma Blair', 'Matthew Davis']","['Robert Luketic', 'Amanda Brown', 'Karen McCullah', 'Kirsten Smith', 'Ric Kidney', 'Marc Platt', 'Rolfe Kent', 'Anthony B. Richmond', 'Anita Brandt Burgoyne', 'Garth Craven', 'Missy Stewart']"
"$20,503,356",Scary Movie 2,Miramax,"July 4, 2001 (Domestic)",R,1 hr 23 min,,Four teens are tricked by a professor into visiting a haunted house for a school project.,"['Anna Faris', 'Marlon Wayans', 'Antony Acker', 'Mark Barrett']","['Keenen Ivory Wayans', 'Shawn Wayans', 'Marlon Wayans', 'Buddy Johnson', 'Phil Beauman', 'Jason Friedberg', 'Aaron Seltzer', 'Shawn Wayans', 'Marlon Wayans', 'Alyson Fouse', 'Greg Grabianski', 'Dave Polsky', 'Michael Anthony Snowden', 'Craig Wayans', 'Eric L. Gold', 'Steven Bernstein', 'Thomas J. Nordberg', 'Richard Pearson', 'Peter Teschner', 'Cynthia Charette']"
"$22,518,295",Shallow Hal,Twentieth Century Fox,"November 9, 2001 (Domestic)",PG-13,1 hr 54 min,,A shallow man falls in love with a 300-pound woman because of her inner beauty.,"['Jack Black', 'Gwyneth Paltrow', 'Jason Alexander', 'Joe Viterelli']","['Bobby Farrelly', 'Peter Farrelly', 'Sean Moynihan', 'Peter Farrelly', 'Bobby Farrelly', 'Bobby Farrelly', 'Peter Farrelly', 'Bradley Thomas', 'Charles B. Wessler', 'William Goodrum', 'Ivy', 'Russell Carpenter', 'Christopher Greenbury', 'Sydney J. Bartholomew Jr.']"
"$30,181,877",America's Sweethearts,Revolution Studios,"July 20, 2001 (Domestic)",PG-13,1 hr 42 min,,A movie publicist deals with the messy public split of his movie's co-stars while keeping reporters at bay while a reclusive director holds the film's print hostage.,"['Julia Roberts', 'John Cusack', 'Billy Crystal', 'Catherine Zeta-Jones']","['Joe Roth', 'Billy Crystal', 'Peter Tolan', 'Susan Arnold', 'Billy Crystal', 'Donna Roth', 'James Newton Howard', 'Phedon Papamichael', 'Stephen A. Rotter', 'Garreth Stover']"
"$23,444,930",Save the Last Dance,Paramount Pictures,"January 12, 2001 (Domestic)",PG-13,1 hr 52 min,Drama Music Romance,"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.","['Julia Stiles', 'Sean Patrick Thomas', 'Kerry Washington', 'Fredro Starr']","['Thomas Carter', 'Duane Adler', 'Duane Adler', 'Cheryl Edwards', 'Robert W. Cort', 'David Madden', 'Mark Isham', 'Robbie Greenberg', 'Peter E. Berger', 'Jeffrey Canavan', 'Fritz Feick', 'Paul Eads']"
