,Running Time (minutes),release_day,release_month,release_year,Domestic Distributor etc,Walt Disney Studios Motion Pictures,Warner Bros.,Lionsgate Films,Universal Pictures,Well Go USA Entertainment,Sony Pictures Classics,Sony Pictures Releasing,Focus Features,Paramount Pictures,China Lion Film Distribution,Twentieth Century Fox,The Weinstein Company,CJ Entertainment,Miramax,Fox Searchlight,A24,New Line Cinema,Yash Raj Films,Fathom Events,Screen Gems,Genres etc,Drama,Comedy,Action,Thriller,Adventure,Romance,Fantasy,Crime,Family,Mystery,Animation,Sci-Fi,Horror,Biography,History,Music,War,Sport,Musical,Documentary,log_worldwide,original_title_letter_count,original_title_word_count
830,0.02666857157578793,4,7,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.405495160006478,0.023608811367846476,0.030159703772844305
831,0.029947494310515955,2,7,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.397397387477106,0.034718840246833055,0.03769962971605538
832,0.022515269445132432,5,7,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,17.36941666605268,0.029163825807339762,0.030159703772844305
833,0.03038468400847969,4,8,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17.32553161162979,0.012498782488859899,0.02261977782963323
834,0.02666857157578793,3,8,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.26482784747824,0.01388753609873322,0.015079851886422153
835,0.03213344280033464,2,9,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.258440783197713,0.030552579417213087,0.030159703772844305
836,0.02404543338800551,3,4,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.210830702453553,0.012498782488859899,0.015079851886422153
837,0.023171053992078038,3,12,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17.191498399285262,0.011110028878986577,0.015079851886422153
838,0.025794192179860457,3,7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.14509993737814,0.02083130414809983,0.02261977782963323
839,0.02426402823698738,3,5,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.092234372193897,0.01388753609873322,0.02261977782963323
